"ONTOLOGY","ID","Description","p.adjust","geneID","dbPEC"
"BP","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",0.00048388129970087,"CLTC/DYNLL1/CENPE/DCTN2/ARF1/CLTA/AP1M1/DCTN1/SH3GL2/TRAF6/AP1G1/CAPZA1/CTSS/DYNC1I2/KIF11/KIF23/KLC2/SEC31A/SPTBN2","Yes"
"BP","GO:0019233","sensory perception of pain",0.00048388129970087,"OPRK1/MME/CXCR4/NPY1R/ADRA2C/GRIN2D/ITGA2/CDK5/CHRNA4/FYN/MECP2/NTRK1/OPRD1/KCNA2/MC1R/NLGN2/OPRL1/OPRM1/PTAFR","Yes"
"BP","GO:0070498","interleukin-1-mediated signaling pathway",0.00048388129970087,"MAP3K8/UBB/PLCB1/TNIP2/PSMC6/TOLLIP/BTRC/PSMB4/CHUK/IRAK1/MYD88/PSMD4/RBX1/SKP1/TRAF6/PSMA5/PSMB1/PSMB7/UBE2N","Yes"
"BP","GO:0051896","regulation of protein kinase B signaling",0.000494315577588262,"PIK3CB/CD28/PDGFRA/TCF7L2/KITLG/VAV1/CALCR/HSP90AA1/PIK3CG/DLG1/ERBB3/STK11/CCL21/CIB1/FYN/GATA4/INSR/LCK/PTK2/RAMP3/SRC/BTC/CCL19/CD80/DRD3/EPHA2/FGFR2/INPP5K/ITGB1BP1/MC1R/P2RY12/PTPRJ/RTN4/STK3","Yes"
"BP","GO:0051897","positive regulation of protein kinase B signaling",0.000494960213870432,"PIK3CB/CD28/PDGFRA/TCF7L2/KITLG/VAV1/CALCR/HSP90AA1/PIK3CG/ERBB3/CCL21/FYN/INSR/LCK/PTK2/RAMP3/SRC/BTC/CCL19/CD80/FGFR2/ITGB1BP1/MC1R/P2RY12/PTPRJ/RTN4/STK3","Yes"
"MF","GO:0005164","tumor necrosis factor receptor binding",0.000495808287216354,"TRAF3/TRAF2/TRADD/FADD/TRAF1/TRAF4/TRAF6/TRIM37/STAT1/TNFSF14","Yes"
"BP","GO:0001912","positive regulation of leukocyte mediated cytotoxicity",0.000514022712060761,"STX7/F2RL1/VAV1/FADD/PTPRC/AP1G1/CADM1/CD226/IL18RAP/NCR3/PVR","Yes"
"BP","GO:1902893","regulation of pri-miRNA transcription by RNA polymerase II",0.000514022712060761,"SPI1/SMAD1/SMARCA4/HDAC4/SMAD3/SMAD6/SRF/GNL3/SOX9/SREBF2/WT1","Yes"
"BP","GO:0050795","regulation of behavior",0.00051486244642418,"OPRK1/MEF2C/DLG4/TRH/HDAC4/HTR1D/DRD3/GHRHR/HCRTR2/HTR1A/HTR1B/KCNA2/MC3R/NRXN1/OPRL1","Yes"
"BP","GO:0032663","regulation of interleukin-2 production",0.00051612911328289,"EZR/CD28/CD4/TRAF2/ABL1/CD3E/PRKCQ/PRKD2/PTPRC/RUNX1/TRAF6/TRIM27/CD80","Yes"
"BP","GO:0071219","cellular response to molecule of bacterial origin",0.000517780864995317,"OPRK1/PRKCE/MEF2C/TNIP2/TLR1/IRF8/HMGB1/CAPN2/CEBPB/TLR6/AKAP8/LBP/NFKBIB/ABL1/BCR/CEBPE/CTSG/IRAK1/SIRPA/SRC/TRAF6/TRIM5/CD6/FZD5/LILRB1/LILRB2/PLAA/PTAFR","Yes"
"BP","GO:0016236","macroautophagy",0.000518935562687454,"GABARAPL2/CSNK2A2/BNIP3L/STAM/PRKAA2/DYNLL1/CHMP2A/NEDD4/PIP4K2B/CALCOCO2/HGS/POLDIP2/CAPNS1/CDK5/CSNK2A1/CSNK2B/GABARAP/HDAC6/HTT/MAP1LC3B/PIP4K2A/PIP4K2C/PRKACA/SRC/UBQLN1/UBQLN4/VDAC1/ATG9A/ATP6V1E1/CHMP4C/HSPB8/LRSAM1/PIK3C3/PLAA/SCFD1/SNAP29/SNX5","No"
"BP","GO:0072088","nephron epithelium morphogenesis",0.000524008039683046,"WNT1/DLG1/PBX1/HOXA11/WNT4/MYC/PKD1/SOX8/MAGED1/PAX2/SALL1/SIX1/SIX2/SOX9/STAT1/WT1","Yes"
"BP","GO:2000116","regulation of cysteine-type endopeptidase activity",0.000524008039683046,"AQP1/SFN/TRAF2/PAK2/JAK2/HMGB1/BIRC2/TRADD/ARRB1/CSNK2A1/FADD/FYN/LCK/MDM2/MYC/RAF1/RPS6KA3/SMAD3/SRC/ARL6IP1/BCL2L11/CD27/COL4A3/DAPK1/MGMT/NLRC4/PAX2/PDCD2/PDCD5/ROBO1/TFAP2B/TNFSF14","Yes"
"BP","GO:0021915","neural tube development",0.000524008039683046,"PHGDH/VASP/WNT1/FZD1/KIF20B/DVL2/ABL1/CFL1/KAT2A/LMO4/PAX6/PFN1/PKD1/PRKACA/PROX1/TRAF6/CELSR1/DEAF1/EPHA2/FZD6/NF1/PAX2/PLXNA2/STK3/TRAF3IP1","Yes"
"BP","GO:0048512","circadian behavior",0.000527008708865562,"NCOA2/MTA1/ID2/NCOR1/SIX3/DRD3/GHRHR/HCRTR2/KCNA2/MC3R/OPRL1/USP2","Yes"
"BP","GO:0043524","negative regulation of neuron apoptotic process",0.000533760450481045,"PTK2B/MEF2C/ERBB3/RASA1/JAK2/TYRO3/CEBPB/LRP1/ARRB1/FYN/FZD9/HRAS/MECP2/NTRK1/PDPK1/PIN1/PRKCG/ROCK1/STXBP1/CNTFR/NONO/SIX1/TFAP2B/UBE2V2","Yes"
"BP","GO:0045667","regulation of osteoblast differentiation",0.000536396228345277,"DDR2/BMPR2/PRKD1/MEF2C/WNT4/SMAD1/CEBPB/HDAC4/ID2/NOTCH1/PDLIM7/PRKACA/PTK2/SMAD3/SMAD5/SMAD6/CLIC1/FGFR2/GLI1/LRP5/SEMA4D/WNT7B","Yes"
"CC","GO:0034702","ion channel complex",0.00054706906990423,"GABRB1/CALM1/GABRR1/STX1A/CLIC4/PTK2B/GRIN2D/SHANK2/DLG4/AKAP9/CACNA1A/CHRNA4/DLG3/EPS8/GRIA4/GRID2/PKD1/PRKACA/SHANK1/SNAP25/SUMO1/ABCC9/CACNA1D/CLIC1/CNTNAP1/GABRG2/GLRA2/HTR3A/KCNA2/KCNQ1/NOS1AP/SCNN1G/TRPC4/TRPC5","No"
"BP","GO:0051146","striated muscle cell differentiation",0.000563675268620186,"FZD7/PDGFRA/CD9/SOX6/MEF2C/WNT1/CD81/CAPN2/EZH2/CHUK/DMD/EFNB2/FLT3LG/GATA4/HDAC4/HOMER1/KAT2A/MSX1/NOTCH1/PAK1/PIN1/PROX1/SLC8A1/SRF/AVPR1A/CAV2/CCNB1/DYRK1B/FLNC/MYL2/MYOD1/MYOZ1/SORT1/TNFSF14/WT1/XK","Yes"
"BP","GO:0043550","regulation of lipid kinase activity",0.000570654999744502,"PDGFRA/VAV3/PTK2B/PRKD1/PPP2R5A/CD81/RBL1/CCL21/PTK2/RBL2/SRC/CCL19/EPHA8/P2RY12","Yes"
"BP","GO:0033002","muscle cell proliferation",0.000570830318333969,"AIF1/TCF7L2/MEIS1/SAV1/MEF2C/MAPK11/XRCC5/PRKG1/ITGA2/JAK2/SMAD1/GNAI2/HDAC4/ID2/IRAK1/MDM2/NOTCH1/PAK1/S1PR1/TRAF6/XRCC6/CCNB1/FGFR2/FOXP1/GLI1/HTR1B/NPR1/PTAFR/PTGIR/SIX1/SMPD3/STAT1/TP73/ZFPM2","Yes"
"BP","GO:0090132","epithelium migration",0.000572799956038154,"EFNA1/JUP/PRKCE/PTPRR/BMPR2/ACVRL1/PTK2B/PRKD1/MEF2C/PFN2/PLXND1/ITGA2/PXN/HMGB1/GIPC1/ABL1/BCAR1/CIB1/CSNK2B/EFNB2/HDAC6/ITGA3/MACF1/MECP2/NANOS1/NOTCH1/PDPK1/PFN1/PIK3R3/PRKD2/PROX1/PTK2/SRC/SRF/EPHA2/EPHB4/FOXP1/ITGB1BP1/KRIT1/NF1/PDCD10/ROBO1/RTN4/SOX9/STAT5A","Yes"
"BP","GO:0032231","regulation of actin filament bundle assembly",0.0005740474327286,"SORBS3/PFN2/PXN/WNT4/NF2/ABL1/FLNA/PAK1/PFN1/RDX/ROCK1/S1PR1/SHANK1/SMAD3/INPP5K/ITGB1BP1/LPAR1/WASF2","Yes"
"BP","GO:0110020","regulation of actomyosin structure organization",0.0005740474327286,"MEF2C/SORBS3/PFN2/PXN/WNT4/NF2/ABL1/PAK1/PFN1/PROX1/ROCK1/S1PR1/SMAD3/ECT2/INPP5K/ITGB1BP1/LPAR1/WASF2","Yes"
"BP","GO:0071347","cellular response to interleukin-1",0.000575220672756971,"MAP3K8/UBB/PLCB1/MAPK11/TNIP2/PSMC6/TOLLIP/CEBPB/BTRC/TANK/PSMB4/CHUK/IRAK1/MYD88/PSMD4/RBX1/SIRPA/SKP1/TRAF6/GBP2/PSMA5/PSMB1/PSMB7/SOX9/UBE2N","Yes"
"BP","GO:2000249","regulation of actin cytoskeleton reorganization",0.000577910178110781,"PDGFRA/PHPT1/PTK2B/ARHGDIB/ABL1/ARHGDIA/CDK5/HRAS/NTF3/CSF1R","Yes"
"BP","GO:0008064","regulation of actin polymerization or depolymerization",0.000585215324436342,"ARPC5/F2RL1/PRKCE/BIN1/PTK2B/VASP/PFN2/DLG1/RASA1/SPTAN1/NCK1/ACTR2/ARF1/ARPC3/CCL21/CFL1/EPS8/PFN1/RDX/SPTBN4/TRIM27/SPTA1/SPTBN2/TWF2","Yes"
"BP","GO:0071772","response to BMP",0.000585215324436342,"BMPR2/ACVRL1/PCSK6/WNT1/FZD1/SMAD1/ABL1/COL2A1/GATA4/ITGA3/MSX1/NOTCH1/NUMA1/SMAD5/SMAD6/SMURF2/UBE2D3/AMHR2/ROR2/SMAD9/SMPD3/SOX9/TFAP2B/UBE2O","Yes"
"BP","GO:0071773","cellular response to BMP stimulus",0.000585215324436342,"BMPR2/ACVRL1/PCSK6/WNT1/FZD1/SMAD1/ABL1/COL2A1/GATA4/ITGA3/MSX1/NOTCH1/NUMA1/SMAD5/SMAD6/SMURF2/UBE2D3/AMHR2/ROR2/SMAD9/SMPD3/SOX9/TFAP2B/UBE2O","Yes"
"BP","GO:0038110","interleukin-2-mediated signaling pathway",0.000585215324436342,"IL2RB/PTK2B/SHC1/JAK1/JAK3/STAT5A","Yes"
"BP","GO:0003014","renal system process",0.000585215324436342,"AQP1/F2RL1/PRKAR2A/PSAP/RAB11FIP2/BCR/GNAI2/HNF1A/ITGA3/PRKACA/AVPR1A/AVPR2/BTC/DRD3/INPP5K/KCNQ1/NPR1/OPRL1/PTPRO/SNX5/TFAP2B","Yes"
"BP","GO:0030833","regulation of actin filament polymerization",0.000592848917208394,"ARPC5/PRKCE/BIN1/PTK2B/VASP/PFN2/DLG1/RASA1/SPTAN1/NCK1/ACTR2/ARF1/ARPC3/CCL21/EPS8/PFN1/RDX/SPTBN4/TRIM27/SPTA1/SPTBN2/TWF2","Yes"
"BP","GO:0010771","negative regulation of cell morphogenesis involved in differentiation",0.000600074447518401,"EFNA1/TRPC6/LINGO1/TRAK2/RTN4R/ARHGDIA/CDK5/PTK2/UBE3A/DNM3/ITGB1BP1/NGEF/PLXNA3/PTPRO/RTN4/TRPC5","Yes"
"BP","GO:0016925","protein sumoylation",0.000600074447518401,"STX1A/TOLLIP/SUMO2/ARNT/RAE1/HDAC4/MDM2/PIAS4/SUMO1/GNL3/NUP210/NUP50/SENP2/TOPORS/UBA2/ZBED1","No"
"BP","GO:0046883","regulation of hormone secretion",0.000603266861751736,"OPRK1/TCF7L2/PRKCE/ITPR3/CLOCK/STX1A/PHPT1/ADRA2C/INHBB/JAK2/SYT7/RAPGEF4/FOXA2/HNF4A/LRP1/CREB1/ARRB1/CACNA1A/RAP1A/SNAP25/SNX4/ADRA2B/CACNA1D/CASR/EDN3/FFAR1/FFAR2/GALR1/GHRHR/GRP/HTR1A/HTR2C/NLGN2/TACR2/TFAP2B","Yes"
"BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0.00060374457674562,"STX7/CD28/PRKCZ/IL27RA/CD4/TLR8/IRF7/MEF2C/SERPING1/TRAF2/DLG1/C5/HMGB1/CD81/TMEM98/TNFRSF13C/BTK/EXOSC6/FADD/HRAS/JAK3/PRKCQ/PTPN6/PTPRC/TRAF6/CCL19/CD226/CD27/CD80/FZD5/IL18R1/IL18RAP/IL7R/LILRB1/MSH6/NFKBIZ/POU2F2/PVR/STAT6","Yes"
"BP","GO:0031345","negative regulation of cell projection organization",0.000605783893965409,"EFNA1/TRPC6/LINGO1/TRAK2/PFN2/LRP1/RTN4R/ARHGDIA/CCL21/CDK5/CIB1/EFNB2/FYN/ITGA3/MDM2/PTK2/UBE3A/DNM3/EPHA4/ITM2C/LPAR1/NGEF/PLXNA3/PTPRO/RTN4/TRPC5","Yes"
"BP","GO:0051294","establishment of spindle orientation",0.000605838132132213,"CDK5RAP2/DCTN1/HTT/MAD2L1/NDC80/NUMA1/PAX6/PLK1/ZW10","No"
"BP","GO:0060292","long-term synaptic depression",0.000605838132132213,"PTK2B/DRD1/SHANK2/ARF1/GRID2/SRF/STXBP1/DRD5/LILRB2","No"
"MF","GO:0051427","hormone receptor binding",0.000609088165788461,"TRIM24/NCOA2/TCF7L2/CCNE1/BRCA1/JAK2/CEBPB/SMARCA4/SMARCD3/MMS19/ARRB1/FYN/JAK1/MED17/MED25/NCOA1/NCOR1/PRKCB/PROX1/SMAD3/SRC/SUMO1/TRIP6/C1D/CRX/FOXP1/MYOD1/STAT1","Yes"
"BP","GO:0051653","spindle localization",0.000626740532564425,"ACTR2/CDK5RAP2/DCTN1/HTT/KPNB1/MAD2L1/NDC80/NUMA1/PAX6/PLK1/ZW10","No"
"BP","GO:0072210","metanephric nephron development",0.000626740532564425,"PDGFRA/WNT4/PKD1/SOX8/PAX2/SALL1/SIX2/SOX9/STAT1/TFAP2B/WT1","Yes"
"BP","GO:0098815","modulation of excitatory postsynaptic potential",0.000626740532564425,"PRKCZ/STX1A/PTK2B/DLG4/SH3GL1/S1PR2/APP/SHANK1/NLGN2/NRXN1/RIMS2","No"
"MF","GO:0016247","channel regulator activity",0.000631018796515392,"CALM1/STX7/PRKCZ/FXYD3/CAV1/STX1A/PHPT1/CABP2/PRKG1/DLG1/RASA1/NEDD4/AKAP9/FLNA/PRKCB/STX8/SUMO1/ABCC9/FXYD6/GRM3/HPCAL4/NRXN1/NRXN2","No"
"BP","GO:0007622","rhythmic behavior",0.00063298579664082,"NCOA2/MTA1/ID2/NCOR1/SIX3/DRD3/GHRHR/HCRTR2/KCNA2/MC3R/OPRL1/USP2","Yes"
"BP","GO:0021987","cerebral cortex development",0.00063298579664082,"CSNK2A2/PLCB1/CRKL/LRP1/NDEL1/CDK5/COL3A1/DISC1/FLNA/GSK3B/NCOA1/PAX6/CDK5R2/LRP8/NF1/P2RY12/ROBO1/RTN4/WDR62/XAB2","No"
"BP","GO:0030832","regulation of actin filament length",0.000639338292596488,"ARPC5/F2RL1/PRKCE/BIN1/PTK2B/VASP/PFN2/DLG1/RASA1/SPTAN1/NCK1/ACTR2/ARF1/ARPC3/CCL21/CFL1/EPS8/PFN1/RDX/SPTBN4/TRIM27/SPTA1/SPTBN2/TWF2","Yes"
"BP","GO:0007052","mitotic spindle organization",0.000639338292596488,"CLTC/GNAI1/CHMP2A/CENPE/RAE1/DCTN1/FLNA/KPNB1/MECP2/NDC80/NUMA1/PKD1/PLK1/CCNB1/CHMP4C/KIF11/KIF23/WDR62","No"
"BP","GO:0097711","ciliary basal body-plasma membrane docking",0.000639338292596488,"TUBA4A/TUBA1A/DYNLL1/HSP90AA1/CKAP5/PCM1/DCTN2/AKAP9/CDK5RAP2/DCTN1/NEK2/PLK1/PRKACA/TUBB/TUBG1/YWHAG/DYNC1I2/SFI1","No"
"BP","GO:0120034","positive regulation of plasma membrane bounded cell projection assembly",0.000639338292596488,"F2RL1/WNT1/KCTD17/NDEL1/CDC42EP1/CCL21/HAP1/HDAC4/HRAS/HTT/PFN1/SRF/CCL19/DNM3/P2RY12/RHOQ/TWF2/WASF2","No"
"BP","GO:0007213","G protein-coupled acetylcholine receptor signaling pathway",0.000639338292596488,"PLCB1/GNAQ/GNA15/GNB1/GNAI2/CHRM4/OPRM1","No"
"BP","GO:0061298","retina vasculature development in camera-type eye",0.000639338292596488,"PDGFRA/BMPR2/ACVRL1/CLIC4/LAMA1/LRP5/ROM1","Yes"
"BP","GO:0002433","immune response-regulating cell surface receptor signaling pathway involved in phagocytosis",0.000645166254983645,"PIK3CB/ARPC5/PRKCE/VAV3/VAV1/PLCG2/HSP90AA1/NCK1/ACTR2/WIPF2/ABL1/APPL1/ARPC3/FYN/PAK1/PTK2/PTPRC/RAP1A/SRC/YES1/CD3G/PTPRJ/WASF2","No"
"BP","GO:0038096","Fc-gamma receptor signaling pathway involved in phagocytosis",0.000645166254983645,"PIK3CB/ARPC5/PRKCE/VAV3/VAV1/PLCG2/HSP90AA1/NCK1/ACTR2/WIPF2/ABL1/APPL1/ARPC3/FYN/PAK1/PTK2/PTPRC/RAP1A/SRC/YES1/CD3G/PTPRJ/WASF2","No"
"BP","GO:0032200","telomere organization",0.000656038543122735,"CCNE1/CCNE2/XRCC5/HSP90AA1/HIST3H3/POLD1/MAP2K7/MYC/NEK2/POLA2/PRKCQ/PTGES3/RPA2/SMG1/SRC/XRCC6/XRN1/DKC1/EXOSC10/GNL3/H3F3B/HNRNPA1/PPP1R10/PRIM1/RFC3/SMC5","No"
"BP","GO:0009416","response to light stimulus",0.000661301730672873,"AQP1/MME/CALM1/CLOCK/GNAQ/MTA1/STK11/NEDD4/DRD1/GNB1/CREB1/POLD1/CREBBP/APP/ARRB1/CDK5/ERCC3/ID2/MAP2K7/MDM2/MECP2/MYC/RCVRN/TRPC3/UNC119/CRY2/DDB1/DEAF1/DRD3/FNTA/GRK1/MC1R/MSH6/NF1/NR2E3/RDH11/RGR/RHO/USP2/XPC","Yes"
"BP","GO:0007517","muscle organ development",0.000661962377302938,"FZD7/CAV1/MEIS1/SOX6/SAV1/CCNT2/MEF2C/MAPK11/ERBB3/FZD1/CREB1/CDK5/COL3A1/DMD/EFNB2/HDAC4/HOMER1/KAT2A/MAPK12/MSX1/NOTCH1/PAK1/PIN1/PROX1/S1PR1/SMAD3/SOX8/CAV2/CCNB1/CHRND/CNTFR/ETV1/FGFR2/GLI1/GPC1/HIST1H1B/MYL2/MYOD1/MYOZ1/NF1/SIX1/TCF12/TEAD4/TNNI1/TP73/USP2/WT1/XK/ZFPM2","Yes"
"BP","GO:1904029","regulation of cyclin-dependent protein kinase activity",0.000665145931922903,"HHEX/SFN/CCNT2/CDC25C/PKD1/PLK1/PROX1/SRC/CCNB1/CCNC/CCNK/CCNL2/CDK5R2/CDK5RAP1/CDKN2C/CDKN3/IPO5","No"
"BP","GO:0061333","renal tubule morphogenesis",0.000681068345754807,"MEF2C/WNT1/DLG1/PBX1/HOXA11/WNT4/MYC/PKD1/SOX8/MAGED1/PAX2/SALL1/SIX1/SIX2/SOX9/WT1","Yes"
"BP","GO:0072028","nephron morphogenesis",0.000681068345754807,"WNT1/DLG1/PBX1/HOXA11/WNT4/MYC/PKD1/SOX8/MAGED1/PAX2/SALL1/SIX1/SIX2/SOX9/STAT1/WT1","Yes"
"CC","GO:0061695","transferase complex, transferring phosphorus-containing groups",0.00068382640362547,"CCNE1/CCNE2/CCNT2/PIK3CG/CDK9/PFKM/TRRAP/PRKAR2A/TBP/MMS19/CDK5/CHUK/ERCC3/GTF2E2/GTF2F1/INSR/KAT2A/POLR2A/POLR3F/CCNB1/CCNK/CDK5R2/PIK3C3/POLR2D/POLR2E/POLR2G/TBPL1","No"
"BP","GO:0010498","proteasomal protein catabolic process",0.000685613673412971,"CAV1/UBB/AMFR/GABARAPL2/CLOCK/MTA1/KCTD17/PSMC6/SUMO2/BIRC2/BTRC/SDCBP/GIPC1/PSMB4/ARRB1/BUB1B/CSNK1A1/GNA12/GSK3B/MAD2L1/MDM2/PKD1/PLK1/PRKACA/PRKCG/PSMD4/RBX1/SKP1/SMARCC1/SUMO1/UBE2D3/UBQLN1/UBQLN4/WWP2/CCNB1/DDB1/FBXW5/FHIT/KLHL20/PSMA5/PSMB1/PSMB7/RNF139/RNF40/TOPORS/UBE2V2/UBE2W","Yes"
"BP","GO:0002223","stimulatory C-type lectin receptor signaling pathway",0.000702842072675972,"PLCG2/PAK2/PSMC6/BTRC/CREBBP/PSMB4/CHUK/FYN/HRAS/PAK1/PDPK1/PRKACA/PSMD4/RAF1/SKP1/SRC/TRAF6/PSMA5/PSMB1/PSMB7","Yes"
"BP","GO:0030183","B cell differentiation",0.000702842072675972,"HHEX/KLF6/PTK2B/PLCG2/ABL1/BTK/FZD9/HDAC4/ID2/JAK3/NTRK1/PTPN6/PTPRC/CD27/IKZF3/LYL1/MS4A1/ONECUT1/POU2F2/PTPRJ","Yes"
"BP","GO:1904064","positive regulation of cation transmembrane transport",0.000712334853789088,"OPRK1/CALM1/PLCG2/ATP1B1/CALCR/RGS9/DRD1/ANK2/ARF1/ABL1/AKAP9/DMD/FLNA/HAP1/HTT/PDPK1/RAMP3/SUMO1/CTSS/EDN3/KCNMB1/KCNQ1/NOS1AP","Yes"
"BP","GO:0061098","positive regulation of protein tyrosine kinase activity",0.000716220695173854,"EFNA1/ERBB3/PAK2/DVL2/DLG4/DLG3/FYN/GRM5/SRC/UNC119/CSF1R/EPHA4/LRP8","Yes"
"MF","GO:0031996","thioesterase binding",0.000731399437732182,"TRAF3/TRAF2/TRAF5/TRAF1/TRAF4/TRAF6","No"
"CC","GO:0030864","cortical actin cytoskeleton",0.000747357484299352,"EPB41L2/LLGL1/CALD1/SPTAN1/CAPN2/NF2/ACTR2/CFL1/RDX/SPTBN4/MED28/SPTA1/SPTBN2","No"
"BP","GO:0002237","response to molecule of bacterial origin",0.00075246122784547,"OPRK1/PRKCE/PTGER2/PLCG2/MEF2C/TNIP2/TLR1/IRF8/JAK2/HMGB1/TNFRSF11A/CAPN2/CEBPB/TLR6/AKAP8/LBP/NFKBIB/ABL1/BCR/CEBPE/CHUK/CTSG/IRAK1/RPS6KA3/SIRPA/SMAD6/SRC/TRAF6/TRIM5/AKIRIN2/CD6/FGFR2/FOXP1/FZD5/LILRB1/LILRB2/OPRM1/PLAA/PTAFR/PTGIR","Yes"
"MF","GO:0002039","p53 binding",0.000755013066378271,"TRIM24/GATA1/STK11/CREBBP/SMARCA4/CDK5/GSK3B/HDAC1/HTT/MDM2/MSX1/PRMT5/SETD7/TP53RK/TP73","No"
"BP","GO:0043113","receptor clustering",0.000761359522967582,"CRKL/CD81/DLG4/CDK5/FLNA/FZD9/FNTA/ITGB1BP1/ITGB7/NRXN1/NRXN2/RER1","Yes"
"BP","GO:2001238","positive regulation of extrinsic apoptotic signaling pathway",0.000761359522967582,"CAV1/TRAF2/PAK2/TNFRSF12A/BID/FADD/PTPRC/ITM2C/LTBR/NF1/PEA15/STK3","Yes"
"BP","GO:0042088","T-helper 1 type immune response",0.000768900538632374,"IL27RA/HMGB1/TMEM98/HRAS/JAK3/TRAF6/CCL19/CD80/IL18R1/IL18RAP/STAT6","Yes"
"BP","GO:0001910","regulation of leukocyte mediated cytotoxicity",0.000769897730661652,"STX7/F2RL1/VAV1/DNASE1/FADD/PTPRC/AP1G1/CADM1/CD226/IL18RAP/IL7R/LILRB1/NCR3/PVR","Yes"
"BP","GO:0048002","antigen processing and presentation of peptide antigen",0.000771120221104018,"LNPEP/CLTC/DYNLL1/PSMC6/CENPE/PSMB4/DCTN2/ARF1/CLTA/AP1M1/CHUK/DCTN1/NCF4/PSMD4/SH3GL2/TRAF6/AP1G1/CAPZA1/CTSS/DYNC1I2/KIF11/KIF23/KLC2/PSMA5/PSMB1/PSMB7/SEC31A/SPTBN2","Yes"
"BP","GO:0007617","mating behavior",0.000779680370926443,"DRD1/APP/HDAC4/MAPK8IP2/NCOA1/AVPR1A/DRD5/THRB","No"
"BP","GO:0050857","positive regulation of antigen receptor-mediated signaling pathway",0.000779680370926443,"CD81/LCK/PRKCB/PRKD2/PTPRC/CD226/CMTM3/FOXP1","No"
"BP","GO:0038094","Fc-gamma receptor signaling pathway",0.000783026515568881,"PIK3CB/ARPC5/PRKCE/VAV3/VAV1/PLCG2/HSP90AA1/NCK1/ACTR2/WIPF2/ABL1/APPL1/ARPC3/FYN/PAK1/PTK2/PTPRC/RAP1A/SRC/YES1/CD3G/PTPRJ/WASF2","No"
"BP","GO:0046660","female sex differentiation",0.000783026515568881,"PDGFRA/UBB/KITLG/INHBB/MERTK/TYRO3/WNT4/CEBPB/ARRB1/INSR/NR5A1/SRC/UBE3A/ADCYAP1R1/AMHR2/CASP2/FSHR/PTPRN/WT1/ZFPM2","Yes"
"BP","GO:0001844","protein insertion into mitochondrial membrane involved in apoptotic signaling pathway",0.000783026515568881,"SFN/TFDP1/BID/GZMB/YWHAG/YWHAQ/BCL2L11/MOAP1/TP73","Yes"
"BP","GO:0006929","substrate-dependent cell migration",0.000783026515568881,"ITGA2/TNFRSF12A/NCK1/SDCBP/PTPRC/EPHA8/ITGB1BP1/P2RY12/ROBO1","No"
"BP","GO:0035666","TRIF-dependent toll-like receptor signaling pathway",0.000783026515568881,"TRAF3/UBB/IRF7/BIRC2/TLR6/TANK/CHUK/FADD/UBE2D3","Yes"
"BP","GO:0090130","tissue migration",0.000786630431582995,"EFNA1/JUP/PRKCE/PTPRR/BMPR2/ACVRL1/PTK2B/PRKD1/MEF2C/PFN2/PLXND1/ITGA2/PXN/HMGB1/GIPC1/ABL1/BCAR1/CIB1/CSNK2B/EFNB2/HDAC6/ITGA3/MACF1/MECP2/NANOS1/NOTCH1/PDPK1/PFN1/PIK3R3/PRKD2/PROX1/PTK2/SRC/SRF/EPHA2/EPHB4/FOXP1/ITGB1BP1/KRIT1/NF1/PDCD10/ROBO1/RTN4/SOX9/STAT5A","Yes"
"BP","GO:0032479","regulation of type I interferon production",0.000791455825932901,"TRAF3/TLR8/IRF7/PLCG2/XRCC5/PPM1B/CREBBP/TAX1BP1/CHUK/IRAK1/ITCH/MYD88/PIN1/POLR3F/SIRPA/XRCC6/LILRB1/POLR2E/STAT1/STAT6/TRAF3IP1","No"
"BP","GO:0098727","maintenance of cell number",0.000811330759610809,"FZD7/SPI1/SAV1/PBX1/CNOT2/PCM1/EZH2/LSM1/MED17/NOTCH1/POLR2A/PROX1/RAF1/DIS3L2/FOXP1/GNL3/MED28/MTF2/PAX2/POLR2D/POLR2E/POLR2G/SALL1/SIX2/SOX9","Yes"
"MF","GO:0035257","nuclear hormone receptor binding",0.000832184530082169,"TRIM24/NCOA2/TCF7L2/CCNE1/BRCA1/CEBPB/SMARCA4/SMARCD3/MMS19/ARRB1/MED17/MED25/NCOA1/NCOR1/PRKCB/PROX1/SMAD3/SRC/SUMO1/TRIP6/C1D/CRX/FOXP1/MYOD1/STAT1","Yes"
"MF","GO:0001085","RNA polymerase II transcription factor binding",0.000832184530082169,"PITX2/TCF7L2/SPI1/GATA1/MTA1/TCF4/LMO2/HNF4A/CREB1/CREBBP/TBP/GATA4/GSK3B/HDAC1/HDAC4/NCOR1/SMAD3/SRF/WWP2/DMAP1/FBL","Yes"
"MF","GO:0005178","integrin binding",0.000832184530082169,"FBLN5/CD9/ACTN1/ITGA2/PXN/HMGB1/CD81/TSPAN4/S1PR2/ANXA7/COL3A1/ITGA3/SRC/TLN1/CASR/CD151/CD226/COL4A3/ITGB1BP1/JAM3/LTBP4","Yes"
